group,case_label,grid_n,dt_s,equivalent_lesion_diameter_mm,TCR,MDI,VUA_deg,DSC_target,PPV_target,target_area_px,lesion_area_px,tumor_area_px
grid,novessel,121,2.0,33.2951532551322,1.0,0.0,0.0,0.7077836411609498,0.5477284328739153,1073,1959,401
grid,novessel,161,2.0,34.36002572548047,1.0,0.0,0.0,0.6880084895649098,0.5244001078457805,1945,3709,709
grid,novessel,201,2.0,34.21650517184461,1.0,0.0,0.0,0.6842948717948718,0.5200974421437271,2989,5747,1101
dt,novessel,161,4.0,34.36002572548047,1.0,0.0,0.0,0.6880084895649098,0.5244001078457805,1945,3709,709
dt,novessel,161,2.0,34.36002572548047,1.0,0.0,0.0,0.6880084895649098,0.5244001078457805,1945,3709,709
dt,novessel,161,1.0,34.36002572548047,1.0,0.0,0.0,0.6880084895649098,0.5244001078457805,1945,3709,709
grid,severe_vessel,121,2.0,30.61215942930314,0.9650872817955112,0.35,21.0,0.675705386588494,0.5567632850241546,1073,1656,401
grid,severe_vessel,161,2.0,31.483598675760117,0.9576868829337094,0.36904761904761907,31.0,0.6566515121565527,0.5333975594091201,1945,3114,709
grid,severe_vessel,201,2.0,31.335640042924776,0.9564032697547684,0.3557692307692308,37.0,0.6543731591753106,0.5300829875518672,2989,4820,1101
dt,severe_vessel,161,4.0,31.483598675760117,0.9576868829337094,0.36904761904761907,31.0,0.6566515121565527,0.5333975594091201,1945,3114,709
dt,severe_vessel,161,2.0,31.483598675760117,0.9576868829337094,0.36904761904761907,31.0,0.6566515121565527,0.5333975594091201,1945,3114,709
dt,severe_vessel,161,1.0,31.483598675760117,0.9576868829337094,0.36904761904761907,31.0,0.6566515121565527,0.5333975594091201,1945,3114,709
