case_id,gap_mm,vessel_diameter_mm,has_vessel,equivalent_lesion_diameter_mm,TCR,MDI,VUA_deg,DSC_target,PPV_target,target_area_px,lesion_area_px,tumor_area_px
stage3_novessel_reference,nan,nan,0,33.96819055603494,1.0,0.0,0.0,0.6895886889460154,0.5262383521333988,1073,2039,401
stage3_d3p0_g0p0,0.0,3.0,1,31.9065158164601,0.9750623441396509,0.31666666666666665,19.0,0.6685236768802229,0.5336297943301834,1073,1799,401
stage3_d3p0_g2p0,2.0,3.0,1,32.32061742796586,1.0,0.25,15.0,0.68448098663926,0.5411700975081257,1073,1846,401
stage3_d3p0_g5p0,5.0,3.0,1,32.815814978831284,1.0,0.21666666666666667,13.0,0.6975806451612904,0.5454545454545454,1073,1903,401
stage3_d5p0_g0p0,0.0,5.0,1,31.513915099419492,0.970074812967581,0.31666666666666665,19.0,0.6647807637906648,0.5356125356125356,1073,1755,401
stage3_d5p0_g2p0,2.0,5.0,1,31.995071401187147,1.0,0.2833333333333333,17.0,0.6800832755031229,0.5417357656163626,1073,1809,401
stage3_d5p0_g5p0,5.0,5.0,1,32.72948014105697,1.0,0.21666666666666667,13.0,0.6999325691166555,0.5483359746434231,1073,1893,401
stage3_d8p0_g0p0,0.0,8.0,1,31.116361262860114,0.9650872817955112,0.35,21.0,0.6652298850574713,0.5412039742840444,1073,1711,401
stage3_d8p0_g2p0,2.0,8.0,1,31.76431336692714,1.0,0.2833333333333333,17.0,0.6820728291316527,0.5462703309029725,1073,1783,401
stage3_d8p0_g5p0,5.0,8.0,1,32.608227350078074,1.0,0.21666666666666667,13.0,0.7018970189701897,0.5513571048430016,1073,1879,401
