group,case_label,grid_n,dt_s,equivalent_lesion_diameter_mm,TCR,MDI,VUA_deg,DSC_target,PPV_target,target_area_px,lesion_area_px,tumor_area_px
grid,novessel,81,2.0,33.71947380147709,1.0,0.0,0.0,0.7001455604075691,0.5386338185890257,481,893,177
grid,novessel,121,2.0,33.96819055603494,1.0,0.0,0.0,0.6895886889460154,0.5262383521333988,1073,2039,401
grid,novessel,161,2.0,35.002496366993746,1.0,0.0,0.0,0.67138419054194,0.5053260587165498,1945,3849,709
dt,novessel,121,4.0,33.96819055603494,1.0,0.0,0.0,0.6895886889460154,0.5262383521333988,1073,2039,401
dt,novessel,121,2.0,33.96819055603494,1.0,0.0,0.0,0.6895886889460154,0.5262383521333988,1073,2039,401
dt,novessel,121,1.0,33.96819055603494,1.0,0.0,0.0,0.6895886889460154,0.5262383521333988,1073,2039,401
grid,severe_vessel,81,2.0,30.922530590107066,0.9717514124293786,0.325,13.0,0.676948051948052,0.5552596537949401,481,751,177
grid,severe_vessel,121,2.0,31.116361262860114,0.9650872817955112,0.35,21.0,0.6652298850574713,0.5412039742840444,1073,1711,401
grid,severe_vessel,161,2.0,32.089445021760085,0.9633286318758815,0.36904761904761907,31.0,0.6444015444015444,0.515919629057187,1945,3235,709
dt,severe_vessel,121,4.0,31.116361262860114,0.9650872817955112,0.35,21.0,0.6652298850574713,0.5412039742840444,1073,1711,401
dt,severe_vessel,121,2.0,31.116361262860114,0.9650872817955112,0.35,21.0,0.6652298850574713,0.5412039742840444,1073,1711,401
dt,severe_vessel,121,1.0,31.116361262860114,0.9650872817955112,0.35,21.0,0.6652298850574713,0.5412039742840444,1073,1711,401
